label_id	PC 1_lysotrackerdeepred_CFOR_pca_predicted	PC 2_lysotrackerdeepred_CFOR_pca_predicted	PC 3_lysotrackerdeepred_CFOR_pca_predicted	PC 4_lysotrackerdeepred_CFOR_pca_predicted	PC 5_lysotrackerdeepred_CFOR_pca_predicted	PC 6_lysotrackerdeepred_CFOR_pca_predicted	PC 7_lysotrackerdeepred_CFOR_pca_predicted	PC 8_lysotrackerdeepred_CFOR_pca_predicted	PC 9_lysotrackerdeepred_CFOR_pca_predicted	PC 10_lysotrackerdeepred_CFOR_pca_predicted	PC 11_lysotrackerdeepred_CFOR_pca_predicted	PC 12_lysotrackerdeepred_CFOR_pca_predicted	PC 13_lysotrackerdeepred_CFOR_pca_predicted	PC 14_lysotrackerdeepred_CFOR_pca_predicted	PC 15_lysotrackerdeepred_CFOR_pca_predicted	PC 16_lysotrackerdeepred_CFOR_pca_predicted	PC 17_lysotrackerdeepred_CFOR_pca_predicted	PC 18_lysotrackerdeepred_CFOR_pca_predicted	PC 19_lysotrackerdeepred_CFOR_pca_predicted	PC 20_lysotrackerdeepred_CFOR_pca_predicted
11	-1.0899632564256951	1.8028444787778155	-0.0646273268645852	-0.4091881718578882	-0.3581533037732854	-0.055321050138751	-0.1293970000719142	-0.1050607971063735	-0.1627428313116104	-0.0152696463731893	-0.0053079362583023	0.1832996496265107	-0.0620390375335257	-0.2047407415250021	-0.0474083902104863	0.034179963091784	-0.0381628505390703	-0.0321808658520786	-0.0083611689615995	0.0473654222588465
12	0.9144560278963412	-1.354597014023773	0.3614928667698449	0.4955569410723745	0.3638456815485772	-0.0336598385616705	-0.1158928330693589	0.0045210144994988	0.0254361184528736	-0.1714364309158377	0.0317933723857122	-0.0394987301639108	-0.0772196160385397	0.0454198769132092	0.0451886246849106	-0.0556827308076825	-0.0105080279625544	0.0219152223249876	0.0326313618439224	0.0137529838250771
13	0.520636417304711	-0.5240108522995024	0.1753314635758049	0.2341537971433237	0.3629341972024897	-0.199940995558073	-0.2107756767323592	-0.0920537699953304	-0.1567365691914841	-0.1214707053850269	0.0875479799802537	0.0273375460902406	-0.1576349175916925	-0.0944084870121389	-0.0139563516489634	0.0011705492530766	-0.0430889000008373	0.0166500989373214	0.0265651671460317	-0.0036528807118608
14	-1.7522089297589507	1.9771670972065647	-0.0711697160203756	-0.7009572538634076	-0.4773753490021448	0.4947559633219933	-0.1569146866072323	-0.133539091756446	0.1296066153112884	-0.2755507297965825	-0.0401628072016401	0.1657137725387907	0.0184335615889365	0.2193520914945047	0.0723786698360684	-0.0199137609864621	-0.0271176406204544	0.016790854652126	-0.1233536520916886	-0.112454680263488
15	-1.3119249182729895	1.0260846864746709	0.0168920139734132	-0.3985110262748509	-0.1607054409616865	0.2591876078143323	-0.2206390298900688	-0.0691487614880958	0.0443838520349141	-0.2926040857692455	-0.0329901715406506	0.1360253727309564	-0.0654606357320501	0.1123778402399745	0.0844433429999464	-0.0598381450310905	-0.0489090391932259	0.0504462901439334	-0.0669403180677498	-0.0456503251651695
16	-1.1494742784484766	1.160554410925291	0.086889747435856	-0.435943059763236	-0.2148972366363198	0.2325107449730892	-0.1745386629229596	-0.0690745212821283	-0.0107718176030786	-0.2883131454714518	-0.0694309637908008	0.1179200984571022	-0.0817474511827072	0.1359488972193239	0.0732591455776396	-0.0418668194581795	-0.0418924853024974	0.0271127326934904	-0.0714798996274174	-0.0694625606843759
17	0.847295186198138	-1.0590787667095949	0.5069409697603467	0.4191259372847021	-0.031088542444945	0.1831798575763739	-0.0675539692709084	-0.0109147602367207	0.0976309438651968	-0.0576954202115514	-0.0023667970702962	0.0217047029875381	0.029135364516514	0.0914395414772293	0.0664040713241301	-0.0305949879298674	0.0076852103307389	-0.0386376086886754	0.0535650932296623	0.008390286284512
18	-1.450745008528715	1.847847234209549	-0.2961859295386462	-0.6160972191356554	-0.1414209308324551	0.1676437598844011	-0.1612768095976892	-0.140183966054069	-0.0124447110980429	-0.1952164123121552	0.0051331477682806	0.1141250929597923	-0.0808914056174209	0.0292321153180621	-0.0010854752592526	0.0109018237910278	-0.0262487194892811	0.0232967160727446	-0.1013407374140636	-0.0586994755697129
19	0.2423111500379788	0.1010764952031438	-0.1548106913476382	0.1416977542760267	0.2098651585402455	-0.5139047160789114	-0.0866831524546286	-0.0073813032895008	-0.2852755392333491	0.0397141970859919	0.1070501309353643	0.0298155401155123	-0.0994456391504466	-0.3246206253713399	-0.0964854914582036	0.0212021434901641	-0.0618165058090958	0.0093641813006104	0.0629140065966721	0.093583509619969
20	-1.0935168644345408	1.5664604019729098	-0.0629760422553819	-0.5425506102799682	-0.4621985230593142	0.288854574885704	-0.0569916525078958	-0.0569112120355276	0.019968052495979	-0.0778056372624343	-0.1152328882562906	0.1152752329053623	-0.0076393423174298	0.0653084715837349	0.054263956265375	0.005834111975651	0.0062871377221114	-0.0528963025118201	-0.0335078976432863	-0.0144223686639885
21	-0.4099225871445064	-0.4592664810221243	0.1769033838417571	0.0407057159436381	0.0647569336738015	0.0013147365981392	-0.1052335005620898	0.0544328247780581	-0.0166466463008942	-0.1115967816840037	-0.0276264106179623	0.0454280849477105	-0.0480633800947585	-0.0036483921141821	0.0759036304007101	-0.0760954231420375	-0.0228969270037279	0.0850944791567757	0.0095888816276382	0.0048669175666847
22	-0.9225406938060028	1.4339271033315335	0.0308407782253316	-0.3880807662593984	-0.2126598598775731	0.0730727212527424	-0.2055499530623989	-0.1265363148423532	-0.115659295425616	-0.2119754784748002	-0.0053164827267555	0.1494674667181554	-0.1034778981531401	-0.0231286711489873	0.0109164091982305	0.00176118425748	-0.0501485993440626	-0.0086874011531415	-0.0408971790348783	-0.0295725035345141
23	2.316935003634454	-3.9417369592083102	0.1878021080143078	1.3552591962447718	0.9590270851395828	-0.6199935897575694	0.2432832405802495	0.2328652828622827	0.0491518117131674	0.21494582752441	0.2386765251763938	-0.2836822544396565	0.1006682077866589	-0.23162081396098	-0.0846097971954785	-0.0756128975536005	0.0536474072936114	0.1913163427976459	0.0888923798091555	0.0848096646906213
24	-0.560811028002635	1.2448524944736663	0.140999936433224	-0.2611381484834724	-0.312026800026691	0.2148638377524582	-0.2432514954549702	-0.1762999468186099	-0.0344143851289674	-0.1799321020373751	0.0358212128426999	0.1803299660223304	-0.0434899866365248	0.0266386379237497	0.0177563414747627	0.0217013426254927	-0.0568741370816639	-0.0637903011819465	-0.0161299299570243	-0.0273592397606285
25	3.207974470018338	-4.235086427657206	0.2647096979622261	1.4266942893044587	1.082678629546815	-0.3759215556178821	0.1311058293419819	0.0518486392745126	0.1368618141409633	0.2659331454375305	0.3009559754865674	-0.292260869821522	0.084440555886155	-0.0201368895096868	-0.0989650287985348	0.0232710663763743	0.03550627070682	0.0618449974226101	0.0883629497473957	-0.0045748469638795
26	1.1948187306848146	-1.845435080714941	-0.052956890513362	0.4959309793567379	0.5078604994060025	-0.2288290568760573	0.089957197679645	0.1135601562899505	0.0242110900386524	0.096666273395131	0.0466184932891632	-0.1702874293796761	0.0035781392827147	0.0065102271326835	-0.0057096513976551	-0.0187264865171445	0.0106269479310947	0.0312687134883671	0.0531842505876725	0.0272206234250107
27	1.6181884968046518	-2.3751080740882906	-0.270574351898609	0.6797347047749809	0.6833989874840934	-0.3987893009080266	0.2226678356008403	0.1594064471240942	0.0502885975323174	0.2350630698591439	0.1408812667643907	-0.2616807626416467	0.084841512900757	-0.0502875476123299	-0.0727767151250363	0.0015098904989822	0.0236202452017453	0.0637693569490557	0.0540111733269031	0.0324543719802867
28	1.9271920415444832	-3.1403654730709145	0.4503856572921185	1.0860862342310185	0.6439237737394772	-0.3920637101631277	0.1048358824486125	0.1317157200177927	-0.0017343004789062	0.1637296923223416	0.1462428798470425	-0.1561409579725676	0.0313280232220448	-0.1800910746267775	-0.0306504300672721	-0.0525717774579657	0.0462499925035566	0.1169467287240501	0.0963802514322051	0.0581399609945618
29	-0.5559298431438772	0.9755533862809368	0.0946536015384206	-0.268169432419685	-0.2112109295034306	0.0484339545794018	-0.1432008777375897	-0.0903166199549012	-0.1123081885933249	-0.0859704623482404	-0.0293309548095037	0.1212479616299369	-0.0797412135728527	-0.0429294450906793	0.0113349018998388	0.0146832827846182	-0.0300255916493174	-0.0309875991641728	-0.0047264466690239	-0.0089276353252662
30	-0.9914727526112178	1.131884105015916	-0.0991090126254624	-0.435440079707738	-0.180243404890498	0.0713751731274544	-0.0845581938002829	-0.0352120161227541	-0.0656199403790259	-0.0564751608127701	-0.0860680013201968	0.0875703124477558	-0.0754947886506852	0.0038159152240259	0.0216064041409365	0.0042747636731072	-0.0244918655157746	-0.0102413771247905	-0.0304316375786198	-0.0077635978196197
