label_id	feature 1_NLStdTomato_CFOR_raw_measured	feature 2_NLStdTomato_CFOR_raw_measured	feature 3_NLStdTomato_CFOR_raw_measured	feature 4_NLStdTomato_CFOR_raw_measured	feature 5_NLStdTomato_CFOR_raw_measured	feature 6_NLStdTomato_CFOR_raw_measured	feature 7_NLStdTomato_CFOR_raw_measured	feature 8_NLStdTomato_CFOR_raw_measured	feature 9_NLStdTomato_CFOR_raw_measured	feature 10_NLStdTomato_CFOR_raw_measured	feature 11_NLStdTomato_CFOR_raw_measured	feature 12_NLStdTomato_CFOR_raw_measured	feature 13_NLStdTomato_CFOR_raw_measured	feature 14_NLStdTomato_CFOR_raw_measured	feature 15_NLStdTomato_CFOR_raw_measured	feature 16_NLStdTomato_CFOR_raw_measured	feature 17_NLStdTomato_CFOR_raw_measured	feature 18_NLStdTomato_CFOR_raw_measured	feature 19_NLStdTomato_CFOR_raw_measured	feature 20_NLStdTomato_CFOR_raw_measured	feature 21	feature 22	feature 23	feature 24	feature 25	feature 26	feature 27	feature 28	feature 29	feature 30	feature 31	feature 32	feature 33	feature 34	feature 35	feature 36	feature 37	feature 38	feature 39	feature 40	feature 41	feature 42	feature 43	feature 44	feature 45	feature 46	feature 47	feature 48	feature 49	feature 50	feature 51	feature 52	feature 53	feature 54	feature 55	feature 56	feature 57	feature 58	feature 59	feature 60
11	-0.1639441945743727	-0.139802355291257	0.0315736721605839	2.7720284608114367	2.0966689177058666	1.4808436190852243	0.3498727888739816	-0.3833776124766863	0.0765431741662949	-0.2531157529135535	-0.7028606146305187	-0.3938076114362294	1.8187778126243457	1.1526756406384844	0.7382632875322671	0.8756137143644984	0.3053515257228248	0.1320679191698635	-5.6424736183152815	-2.6494611051354866	-1.3286610600722022	0.6716102973461389	-0.4448133329835015	-0.5030709945515024	0.023707908300325	0.0058026515114374	-0.1108382138475448	0.039113056101088	-0.1494517583822407	0.0922625288420253	2.183800758274387	1.3164456400599351	-0.5039724580230989	1.573814699845184	-0.3712298914936529	-0.2014466894906045	-0.0662753831330308	0.045729164685363	-0.0002702608558283	0.29058733599511	-0.0016267139884564	-0.2912603711397126	-1.964270463083114	-1.3507078991381314	-0.7298769175362305	-0.4063034343268175	0.0896465879257598	0.3351087582870871	1.028730258334862	0.4427713088538146	-0.4216541246750077	0.2002595301413028	-0.4384784699434165	-0.4032421350350583	0.6495399242927425	0.2296292930912549	-0.518085521844925	-1.022835691637492	-0.2112800067614015	0.2975396382847972
12	-0.657963030682893	-0.1851541900751045	0.2364844039942739	2.6314469077949885	2.0286214014415176	1.4110331059267276	0.2729489528738839	-0.262058739882494	0.221155109686924	-1.0630285245876363	-1.1491752759594036	-0.6200011041077995	1.6760690388273416	1.0806744679624531	0.6782564597797833	0.7622797951603376	0.2277422475268551	0.0294921183284329	-6.49349224143258	-3.083895720976292	-1.520755994759552	0.5245791551656894	-0.4803739464785324	-0.346606453693483	-0.0438433273113649	-0.0182215610455864	-0.0414578115156699	0.0197490142419463	-0.1287781118058768	0.1247113705725733	1.9842511610462568	1.1798234900396127	-0.0663429871625802	1.2636283560114476	-0.356266034036096	0.2540111805150443	-0.0459324563219203	0.0250939708420205	-0.0507262870734559	0.087267830777124	-0.0177738258629197	-0.0297773030740515	-2.816359624948864	-1.7776976649979164	-0.91671285793533	-0.9106169887727288	-0.1894505986289076	0.2441491818746155	0.745695671599111	0.3280932162683669	-0.0628776268130028	0.0026548024081107	-0.5846047840282054	-0.4067764854447278	0.267799351864743	0.1825382537017925	-0.2568441130753046	-1.879645471224144	-0.5786013361733702	0.2190569696167381
13	-0.1892446728803831	0.1377172256287528	-0.006330013572406	2.9137128202631395	2.081460595274367	1.3286561965157044	0.282533775322826	-0.1615991128393343	0.1248474550422396	-0.4901304952986194	-1.0132219380887302	-1.0054458867932108	1.960462172076049	1.1374673182069843	0.5860758649627469	1.003661560324995	0.2906776185221387	0.0637202617061982	-5.897604638258553	-2.883830832788452	-1.9186899692577204	0.7949428301295207	-0.4817686459993922	-0.8138295205664879	-0.0087010321245666	0.0409754130367673	0.0158780990923786	0.1134177408104574	-0.1241349328836882	-0.0650237485018339	2.2874915431431395	1.3812052541974411	-0.4094285172094171	1.5601093178648946	-0.1028981921967082	-0.0678355472648399	-0.0885058047516609	0.0561808893514762	0.0098200616269565	0.3840321343407815	0.0192004164204623	-0.479916576700135	-2.2087793466272583	-1.6014327408633315	-1.3338896516940488	-0.6206921954822016	-0.0038231791354071	0.234059847143547	1.0279606194336108	0.6001154435154862	-0.3839771434934191	0.3419087170788093	-0.6051864018379496	-0.8449849194588741	0.5452239189208995	0.3579368648507092	-0.6676487104074582	-1.3116386818430157	-0.3406403840103933	-0.1112851514078714
14	-0.2339464661188979	0.12059815089138	-0.082757133987807	2.910242986402537	2.0042978824220308	1.201631794667641	0.203919200290233	-0.1235560231319335	-0.0626482856341615	-0.5547143423928844	-1.119159482372362	-1.3083621513257897	1.916140517823849	1.0717164518221671	0.5377526266300994	0.9092013630803502	0.3155599784026437	0.1281747755371909	-5.983939502435073	-3.0159022826825668	-2.2071139262959973	0.8957611129551718	-0.4645176162319782	-1.1316492070518949	-0.0111077534113841	0.0701111678185594	-0.0072545133127757	0.1111306137471311	-0.0898288775423872	-0.411263899062349	2.187022409053644	1.3913314042730156	-0.5422107458302295	1.4401359473764637	-0.0448333442614173	-0.2720591267175569	-0.0787004534077971	0.0270090283552026	-0.0384029678607539	0.4814043665619787	0.0864124595326335	-0.7879175925828549	-2.3181018418490744	-1.7376178558233235	-1.5983351425773114	-0.4997424898923333	0.0908567923297478	0.2927795449088114	0.9041540194335728	0.6745317524398579	-0.4990528802886182	0.4915475863707168	-0.6009128206966983	-1.1696202984547135	0.4663063313461248	0.3865279031409934	-0.9364468227561537	-1.3955354572359813	-0.4755509380649871	-0.3953612796789254
15	-0.3265807387661672	-0.010172358524725	0.0429560293160349	2.723993275905509	1.920945708619923	1.1816968525120215	0.3770668544890171	-0.269756296116624	-0.0048215708267567	-0.3774293924496987	-0.8919346239134933	-0.9019643812154674	1.7612948511622617	0.9925951136686656	0.4442066719107689	0.8033904886579235	0.2304742811631807	-0.0629084252581491	-5.825615093353593	-2.790852386583685	-1.7601244633952684	0.9145371188598712	-0.4616071094870384	-0.917874748594085	-0.0465473842671255	0.0644116088286816	0.0052079878841889	0.0739835066343513	-0.090357058833431	-0.2142288381074448	2.164134747421251	1.2166563959002905	-0.6754935996554234	1.5636266830590562	-0.2888206185903561	-0.3503062271199083	-0.0922199277035345	0.0849882595822728	-0.0315238503444569	0.5359979792062134	0.0176292908127591	-0.5700360876350501	-2.1161519369944743	-1.5158853192488713	-1.2115938879024966	-0.6823928428131953	0.0655830790725524	0.3512664263756366	1.0093493892264287	0.5049927028768642	-0.4723139517678535	0.3954969412819822	-0.5394489232655011	-0.8794867858747486	0.6300677983364177	0.2779668991682371	-0.7881525785443806	-1.2187873887484777	-0.2835952174407596	0.0280298904759359
16	-0.3246322491479632	-0.0942391236383222	0.0524906365981983	2.817222760384324	2.061634383739945	1.3414525785815243	0.2220442105466475	-0.1721194433077219	0.0825982605193916	-0.6255474266126599	-1.0354663199249243	-0.7807382012898594	1.8639721121972328	1.117641106672563	0.5988722470285668	0.9298237897439872	0.2726093271321541	0.0342788446870463	-5.862341083475472	-2.9654104289030143	-1.871862334922748	0.5516630396708294	-0.5415523061182184	-0.6456618688930114	0.0120394363257859	0.0021381214661611	-0.0415493728026792	-0.0748911726486742	-0.1168774518800384	-0.0042370568335912	2.188773077091024	1.2885952440086066	-0.1775449006715058	1.4143594098957728	-0.1623781362529885	0.0921481844376148	-0.0859619305354799	0.0528851562427802	0.0265950663387042	0.2492644970246504	0.0041847155413096	-0.2471633352802995	-2.2474014961743443	-1.6614068408857154	-1.1700622831638916	-0.5626000556848112	0.1156714281890566	0.211098200573552	0.9372823680249708	0.4956899981611256	-0.1662085306907006	0.1220332855603369	-0.6118370378487348	-0.7051101317436852	0.4106670302723231	0.2545185958869539	-0.4130653017731158	-1.2596502375138336	-0.4498515532696605	-0.0890850873772828
17	-0.3405981910519171	-0.0466994498841759	0.0535673593753478	2.538656491057851	1.9144403229219225	1.3693267395234856	0.1893517243748593	-0.2028670234810802	0.0757857014153909	-0.3757073350359885	-0.7852719010928397	-0.7225904743673837	1.5854058428707596	0.97044704585454	0.6267464079705279	0.6528660872943479	0.1243660284993539	0.0245990464625485	-5.808648950480762	-2.6769775963689035	-1.5874121768873808	0.7463389749748088	-0.4781204187759487	-0.7576285987014932	-0.1373636377877748	0.0283353116001072	0.0723472700059729	0.1134799919987724	-0.0583085786349235	-0.0418246424802409	1.960564485996372	1.1718771979783011	-0.5546152477735288	1.3286408320909926	-0.2997288358691439	-0.1630717833017428	-0.0568025580916539	0.0454898263104308	0.0187976487582612	0.3369119286071452	0.0527393414178888	-0.4299726010904038	-2.0874449950857548	-1.4172090427806912	-1.0396461858512132	-0.7828764086092711	0.1665587169392842	0.7060005639352566	0.7611386498549078	0.4713590088700478	-0.3698027329310563	0.3390763840478283	-0.4627025892977456	-0.6948618604829591	0.4073784755369673	0.2273182893874814	-0.6082719209914939	-1.2091889426115758	-0.1563412464503688	0.2115623786884004
18	-0.2232185884751445	0.0821355227192903	0.0487848290137582	2.7070948287986893	1.9545521002442607	1.3208680062163038	0.3236379850142378	-0.2526402882192051	0.0263743810711868	-0.2606382131230123	-0.8099756734463637	-0.8094420398544451	1.7434954674471208	1.015823474854773	0.5920588791264285	0.8015055041929853	0.1691139744709157	0.0455983905156036	-5.707801987074399	-2.679434687500964	-1.700619687643402	0.9333517544205224	-0.4611824815398959	-0.7939058047976841	-0.0630228055120475	0.0371084512781633	0.0454179459347049	0.0828731997781394	-0.0850793636737599	-0.0943312748656066	2.120145080674189	1.1817243727092674	-0.5635372347791626	1.5044510705623817	-0.2369109416296739	-0.1826602010822562	-0.1130638032870756	0.0373864049054929	0.0147109500964324	0.4886400207427889	-0.0523557669768561	-0.5195316362409749	-1.9928625783749168	-1.409655525648498	-1.1537536974685838	-0.7807753703078415	0.0685999090117448	0.4310008658260181	0.9159235572763348	0.4871639617183269	-0.4156980889437638	0.4580214803288529	-0.4548945154728603	-0.7960908279436316	0.5395274562845127	0.2261877331730069	-0.6667739640251964	-1.0932762286534885	-0.1705027064411153	0.0588694763973454
19	-0.2075376705965921	-0.1317034468229989	0.1274851714470162	2.420078526434528	2.1013152988795234	2.18509595123246	0.282524815080349	-0.3911305588826569	0.1146053303648917	-0.3131217670383521	-0.0023457753719204	0.3110840484125261	1.4724202306287824	1.168469051223202	1.4285443432235665	0.5666273113851402	0.3123399340603077	0.7607729921293076	-4.137426907661041	-0.8491856525764341	0.5838278199537341	0.5396924232835761	-0.2800669597467193	-0.0220791736267818	-0.2048646162659382	-0.0649175162163134	0.0649744084586804	0.0284842145414897	-0.1805950866438714	0.0895331209631367	1.8651401801428025	1.1813527569799815	0.0764223558387849	1.1842263735125405	-0.5210240851490453	-0.2300257298486211	-0.2157257753617318	0.0437293166052566	0.4979276470602303	0.2719705832826799	-0.1010746776807294	-0.0467464177708927	-0.9606632429275814	-0.4669139944826561	0.5803144187255498	-0.6385208184040589	0.1188100234526182	0.7646053974199188	0.6319562528508387	0.2442732985737707	-0.1377370653788074	0.0289456094707696	-0.1716687620711563	-0.0091965926512669	0.3001762119274562	-0.1848365497616563	0.0341986945162589	-0.7477603051192339	-0.1702083458030876	0.5136076297436529
20	-0.5944181026623165	-0.2922139647496655	0.2731783018379474	2.5283338268654942	1.9258399074453003	1.560054214260184	0.3237709037965574	-0.4167686494678225	0.0102880602923727	-0.5069794624409971	-0.4092548926340935	0.2120953307815773	1.5750831786784032	0.9818466303779184	0.8174738827072265	0.6414229206713208	0.1292806400947865	0.191961043945962	-5.995508644099817	-2.2922133419352666	-0.6348049716350124	0.3829847861577993	-0.1978963577136168	-0.0141479857050863	-0.0204943366335997	0.0340500424513822	-0.0303669741180973	0.0504772815824584	-0.2462752761110849	0.2340568147643125	1.950535191427732	1.0972259352346667	-0.5250726956624603	1.3352903714294824	-0.4026362662958777	-0.0744108562976592	-0.1196679430304256	0.0121842773529795	0.036390537834569	0.0777051631007589	-0.0561210530471676	-0.0417281468635111	-2.282688679232919	-1.0159361956168933	-0.0746499452305089	-0.9233407322164208	-0.0769970554084293	0.3005626333812007	0.761842488641335	0.3579730041407891	-0.2594606502870935	0.0633242433506895	-0.1794826773167841	0.1056848981406544	0.4074493986917524	0.1850018405444606	-0.2701356277647997	-1.4127626214383997	-0.2045069006810509	0.707833183694569
