label_id	PC 1_mKate2rab5_CFOR_pca_predicted	PC 2_mKate2rab5_CFOR_pca_predicted	PC 3_mKate2rab5_CFOR_pca_predicted	PC 4_mKate2rab5_CFOR_pca_predicted	PC 5_mKate2rab5_CFOR_pca_predicted	PC 6_mKate2rab5_CFOR_pca_predicted	PC 7_mKate2rab5_CFOR_pca_predicted	PC 8_mKate2rab5_CFOR_pca_predicted	PC 9_mKate2rab5_CFOR_pca_predicted	PC 10_mKate2rab5_CFOR_pca_predicted	PC 11_mKate2rab5_CFOR_pca_predicted	PC 12_mKate2rab5_CFOR_pca_predicted	PC 13_mKate2rab5_CFOR_pca_predicted	PC 14_mKate2rab5_CFOR_pca_predicted	PC 15_mKate2rab5_CFOR_pca_predicted	PC 16_mKate2rab5_CFOR_pca_predicted	PC 17_mKate2rab5_CFOR_pca_predicted	PC 18_mKate2rab5_CFOR_pca_predicted	PC 19_mKate2rab5_CFOR_pca_predicted	PC 20_mKate2rab5_CFOR_pca_predicted
11	0.0661236533642316	0.7863409286936386	0.1862525145116432	-0.0880330126602639	0.1484602510414419	0.3729196785856152	0.0034161551802673	0.1623090953674072	0.0216180975187345	0.0201519289351779	-0.0452057499045918	-0.0003301472956426	0.1196745031062495	-0.1108846298369571	0.1215383247365992	-0.0646011640759307	-0.0590130993250378	-0.0285823860220641	-0.0382503260137255	0.0063431415468441
12	0.2695389339365726	0.9165094803385893	-0.3817992047954178	-0.1426587809386072	-0.1349245504121315	0.8966354567950464	0.1848749484880671	0.0989018313633617	0.0611982699696233	-0.1132282058791519	0.0223374364714946	0.0176650028609045	-0.0407935098526661	-0.0366118456708227	0.0750840155289163	0.0102387452945606	0.1007170643233233	0.0248208397207404	-0.0109419979596027	0.0142779472350734
13	0.2335092361920388	-0.2700713158407515	0.2186023069314796	0.0025364379595023	0.1109408170660905	-0.2920425007921124	-0.041091692398234	-0.0191786035778666	-0.0408030023648799	0.0572433575113212	-0.0558652438453259	-0.0310971284316909	0.0242002204863282	-0.0337320363451539	0.0008435771273447	-0.014765195663899	-0.070364057006639	-0.0118688846347404	-0.0077042221386498	-0.0213307011362969
14	0.4140572124050721	0.1614286928299922	0.3275543058807497	0.1845118458798923	0.0145640651591811	-0.298668039500879	-0.1519132508796572	-0.0211428015514558	-0.086581004040197	-0.0277785889227833	0.0363842394479249	0.0348398845549369	-0.0187816078788719	-0.0289172948870015	-0.0113784344728848	-0.0727657236382359	-0.0488195895598879	-0.0268182769281789	-0.0207733890057695	-0.0246148358051901
15	0.6521093379589672	0.9457738386260854	-0.0319408716212869	0.2092401404953139	-0.2728258123461131	0.2987899893242156	-0.1494403918561888	0.0207318871008516	-0.0828275760303204	-0.1610881099169391	0.0830156393977318	0.1018931417425757	-0.1014762374818584	-0.0275208844093938	0.0229469487154592	-0.0822972729674119	0.0556046542269839	-0.0122780207319811	-0.0489183628306833	-0.0104667230542799
16	-0.070760884654794	0.1428964398542252	-0.4573149718441296	-0.0983089332327512	-0.001058709732085	0.5325589572360742	0.1021721091410315	-0.0764154623060219	0.1173430524035919	-0.0529710657167681	0.0079948852381412	-0.0609838208980414	-0.0644740669814927	-0.0431368155404292	0.0334786944419618	0.0537169808993037	0.1028661259155662	-0.0019839922201632	0.0365354812916105	0.0341340555081587
17	-0.4147294604382351	-0.9504583448906856	0.1901151039104128	-0.0525992790757763	0.2044045659839669	-0.5651423456075699	0.0478812927630981	-0.066269041996434	0.0160561305078486	0.1242515469066126	-0.0271016697673714	-0.0622611023156859	0.0512086892110922	0.0499897441225127	-0.0673004955435369	0.0466076601249071	-0.0634810247164536	0.0065351861888977	0.0425804303915525	-0.0087310423203422
18	-0.0151189945866315	-0.5125608201814164	0.1393633451124928	0.1143114392346534	0.1325823231192988	-0.459693714405156	-0.1119705210070036	-0.1596336534914416	0.003990811660452	0.0379829297489734	0.0300637160680795	-0.0512531546850809	-0.0393110053251932	-0.0175370556733802	-0.0503120072482536	-0.0039798019949559	-0.0263368708716199	-0.0290510747295601	0.0350653884074174	-0.0083963334003523
19	-0.5765151817963294	-0.2672235879834571	-0.2793471394518907	-0.2132566166588179	0.2877565741078863	0.2964948945505417	0.1659261222918061	-0.089464715586527	0.1924686526780298	0.0710121088082393	-0.0047822026558443	-0.1382506704298986	0.0291008417500748	-0.0623463243928252	0.0331901245379539	0.0726139851361811	0.0386377494454136	-0.0135526275583245	0.0754737484183246	0.0357331768258707
20	0.3364921267812562	-0.299383465918233	0.5739114489264587	0.1762838928148382	0.1439339073317402	-0.708699112515397	-0.2198791918879651	-0.0153557287960792	-0.1220564916458294	0.0694579265521129	-0.0452110419905277	0.008339315430379	0.0542895357901796	-0.0415703168199094	-0.0112043257403315	-0.0781744320467458	-0.1382410369979301	-0.0408953861598409	-0.0317479973557042	-0.0335030270498169
21	-0.2980577267859507	-1.356850666461753	0.1565768744679752	0.0121599953900651	0.0820825776684134	-0.8022951460602263	-0.0187740751412043	-0.0933812760559148	-0.0492553542247527	0.1201548681502608	-0.0790468359508453	-0.0382554886194364	0.0242050701563492	0.0959367377326851	-0.1018327214463559	0.0656529483364524	-0.0649447896882515	0.015278616057426	0.0256597776689769	-0.009080476624233
22	0.1626149744493387	1.3957435294397609	-0.4702000261308164	-0.2112314693565402	-0.0782721830669547	1.278065613291305	0.2943188459325666	0.1262136506224448	0.1357022937931713	-0.1472336461860647	0.0950207851960109	0.0060286038993796	-0.0426006951066324	-0.0618390287666366	0.1018837374027288	0.0052548160482143	0.1418482217827885	0.0274252071492231	0.0111566146762854	0.0207875754519883
23	-0.2485936458085876	0.0324685245168542	0.1185978931761449	0.0077314834228654	0.1344094928579187	-0.1320031100810654	-0.1142629654998216	-0.0226828982266162	0.035964774328388	0.0666653495142301	-0.0134120942201155	-0.0342088557044132	0.0542661240641621	-0.0620366632400295	0.0342893226669314	-0.0277346408034837	-0.0492678228395465	-0.0358376474142085	-0.0004321902479632	0.0062520647294425
